"HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Test1","Test2","Homework","Quiz","Lab","Overall","Grade"
96,97.5,100,0,100,89,97,100,99,12,100,66.6666666666667,80,95,73.6,78.3,92,87,97.3125,91.6667,100,93.093755,"A"
45,77.5,67.5,70,90,71,89,90,85,12,33.3333333333333,72.2222222222222,47.5,70,57.6,63.9,72,71,80,63.2407,100,75.636105,"C"
0,85,85,67.5,90,88,96,75,95,12,58.3333333333333,66.6666666666667,50,0,48.8,40.95,61,45.5,85.1875,58.3333,100,67.881245,"C-"
85,92.5,100,100,95,90,100,97.5,100,12,100,77.7777777777778,75,60,62.4,61.2,78,68,96.875,84.2593,100,84.301395,"B"
82.5,70,100,65,97,71,78,85,85,11,75,38.8888888888889,55,80,70.4,55.8,88,62,83.5625,70,100,78.66875,"C+"
92.5,92.5,100,80,95,97,97,95,80,12,83.3333333333333,55.5555555555556,75,90,57.6,54.9,72,61,93.625,82.7778,100,80.15417,"B-"
55,85,100,100,60,100,80,90,90,12,91.6666666666667,77.7777777777778,85,100,71.2,76.5,89,85,88.125,92.2222,100,89.32083,"A-"
92.5,77.5,92.5,100,100,96,89,97.5,99,12,83.3333333333333,72.2222222222222,80,100,58.4,71.55,73,79.5,95.8125,87.7778,100,86.38542,"B+"
62.5,97.5,82.5,67.5,90,98,100,80,100,12,75,72.2222222222222,57.5,75,55.2,50.4,69,56,89.4375,74.0741,100,75.742365,"C"
100,100,92.5,100,100,0,94,85,0,10,41.6666666666667,83.3333333333333,70,0,71.2,75.6,89,84,83.9375,65,80,81.73125,"B-"
87.5,92.5,100,90,87,96,94,95,70,12,95.8333333333333,83.3333333333333,70,15,64.8,42.3,81,47,92.75,83.0556,100,78.23334,"C+"
92.5,100,100,100,100,99,100,100,97,12,100,100,100,100,64.8,88.2,81,98,99.5,100,100,95.55,"A+"
95,96,100,100,100,97,30,95,98,12,91.6666666666667,44.4444444444444,80,95,44,63.9,55,71,97.625,88.8889,100,81.370835,"B-"
